scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_services,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,ai_share,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,shadow_capability_to_capital,output_growth,output_per_capita_growth,wage_growth
equilibrium_sigma_1.5,68.0,212.29218803681806,2.2959816423489463,0.36824124106044914,0.8160000000000001,0.7222896239801785,0.27358867520323754,1.0047337840262602,-0.28373248740775614,-2.681920570815062,-4.960201644241591,0.8128947138279711,-6.765745035869552,-5.426828027761379,0.18873378402626018,-0.09371037601982157,1.4799816423489462,0.012766486185162518,0.0075230275119723845,0.01272607446604903,0.0007260744660490294,0.010913792481290183,0.2749274983819668,0.02736367790143847,0.09072607446604904,0.040726074466049034,0.003100469757661986,0.0723437091198877,0.17919500932952254,0.01733729017312559,0.0004220111510890216,0.22830195798733366,0.7539387406884516,0.9999999999999998,0.6215297148896751,0.6234627422671034,0.19125422288300276,0.01282828484606463,0.0008282848460646301,0.0005745583314098468
equilibrium_sigma_1.5,69.0,211.29218803681806,2.308749969512661,0.3758016801119047,0.8280000000000001,0.7350185805905414,0.28449936878177157,1.0175665363306239,-0.28315507776623927,-2.6573642423974784,-4.9324976079222385,0.8248454857772131,-6.736886180267164,-5.398917004545636,0.1895665363306238,-0.0929814194094587,1.480749969512661,0.012770284223435555,0.007597980272829719,0.01273191969444485,0.0007319196944448499,0.010907657784710634,0.2749452111952874,0.027634524856055935,0.09073191969444486,0.040731919694444854,0.0031495439704136057,0.07262620303651042,0.1792799528726769,0.017409618139550796,0.0004288288298834514,0.22830106387578153,0.7538604891547842,1.0,0.6213404439655379,0.6233035659534238,0.192348024415004,0.012837408508235337,0.000837408508235337,0.0005804212280637877
equilibrium_sigma_1.5,70.0,210.29218803681806,2.321522433539689,0.3834374629676674,0.84,0.74775361970723,0.2954041108070937,1.030408601042731,-0.28257164495162856,-2.6326814806459438,-4.904726506501077,0.8367952608001831,-6.707948213216781,-5.370936657418119,0.19040860104273094,-0.09224638029276999,1.481522433539689,0.012774752144690718,0.007673716825274887,0.01273823491798353,0.0007382349179835303,0.010901884257334724,0.2749643482363137,0.027908042895364145,0.09073823491798354,0.040738234917983535,0.00319960950438922,0.0729125845812272,0.1793658144540474,0.017482978218123644,0.0004357870661683823,0.2283014236112529,0.7537798111044551,1.0,0.6211485683305777,0.6231423806141786,0.19346070544598107,0.01284690298182567,0.0008469029818256694,0.0005865977501713915
equilibrium_sigma_1.5,71.0,209.29218803681806,2.3342996824829085,0.3911493784200877,0.852,0.7604951985311466,0.30630324797844527,1.0432603422942752,-0.2819818822658965,-2.607870568775143,-4.876887345331845,0.8487440129024225,-6.678929526676084,-5.342885878516587,0.19126034229427524,-0.09150480146885343,1.4822996824829087,0.012779846106662968,0.007750247440823123,0.012744994470320077,0.0007449944703200768,0.010896442748133825,0.2749848317282427,0.028184272536466323,0.09074499447032008,0.04074499447032008,0.0032506921199395612,0.07320292741987754,0.17945264023319418,0.01755739080044285,0.0004428896708353319,0.2283029420644771,0.7536967774642448,1.0,0.6209540386286819,0.6229791520491348,0.19459261568229044,0.01285675557348509,0.00085675557348509,0.0005930746755118399
equilibrium_sigma_1.5,72.0,208.29218803681806,2.3470823215650665,0.3989382258930981,0.864,0.7732437492724077,0.3171970982932661,1.056122112189701,-0.2813854956006049,-2.5829297923562575,-4.848979146110349,0.8606917153608226,-6.6498285541240065,-5.314763580591816,0.1921221121897011,-0.0907562507275923,1.4830823215650666,0.012785526771384975,0.007827582454817442,0.012752175479648305,0.0007521754796483045,0.010891306682801354,0.27500659236257063,0.028463253871738106,0.09075217547964831,0.04075217547964831,0.003302818295285894,0.07349730626741033,0.17954047459465614,0.01763287660676599,0.0004501405609468643,0.22830553344920582,0.7536114493830813,0.9999999999999999,0.620756804800835,0.6228138457651856,0.19574411716129095,0.01286695538529059,0.0008669553852905902,0.0005998405096119819
equilibrium_sigma_1.5,73.0,207.29218803681806,2.3598709194851972,0.406804815003869,0.876,0.7859996829861408,0.3280859548375885,1.0689942530648564,-0.2807822012466725,-2.557857436603606,-4.821000944554197,0.8726383406937673,-6.620643763859989,-5.2865686939055205,0.1929942530648564,-0.09000031701385924,1.4838709194851973,0.012791758714256432,0.007905732276538758,0.01275975750127064,0.0007597575012706394,0.010886451695019533,0.2750295681856686,0.028745026684555273,0.09075975750127065,0.040759757501270644,0.0033560152558165953,0.07379579697373019,0.1796293604690266,0.017709456710075205,0.00045754376486132226,0.22830912010110346,0.7535238794239599,0.9999999999999999,0.6205568160276007,0.6226464269353755,0.19691558400989412,0.012877493298366849,0.0008774932983668486,0.000606885475558816
equilibrium_sigma_1.5,74.0,206.29218803681806,2.372666011910406,0.41474996559414634,0.888,0.7987633917367581,0.33897008776988435,1.0818770987864348,-0.28017172464948725,-2.532651784394261,-4.792951789062576,0.8845838606331486,-6.591373655173998,-5.258300164445911,0.19387709878643478,-0.08923660826324187,1.4846660119104063,0.01279851009877847,0.007984707393899464,0.012767722318633427,0.0007677223186334271,0.010881855426381953,0.2750537039958589,0.029029630497248927,0.09076772231863343,0.04076772231863343,0.0034103110014895416,0.07409847659465554,0.17971933951537897,0.017787152556444034,0.0004651034267642138,0.22831363179797043,0.7534341122188213,0.9999999999999999,0.6203540206815807,0.6224768603666619,0.1981074024877644,0.012888361260390724,0.0008883612603907236,0.0006142008057071768
equilibrium_sigma_1.5,75.0,205.29218803681806,2.385468103523529,0.42277450831626223,0.9,0.8115352499488306,0.3498497452468921,1.0947709755856379,-0.27955379963525817,-2.5073111141561677,-4.764830739772112,0.8965282460965254,-6.562016755855074,-5.229956952707477,0.19477097558563783,-0.08846475005116938,1.4854681035235289,0.012805752484767272,0.008064518374815276,0.012776053833265515,0.0007760538332655144,0.010877497415416715,0.2750789510098955,0.029317104581095953,0.09077605383326552,0.04077605383326552,0.003465734334061027,0.07440542346749744,0.1798104522346069,0.01786598598670874,0.0004728238110116567,0.22831900534079014,0.7533421848614895,1.0,0.6201483662767766,0.6223051104643746,0.19931997121990003,0.012899552378443868,0.0008995523784438679,0.0006217788332761875
equilibrium_sigma_1.5,76.0,204.29218803681806,2.398277672051265,0.43087928450384816,0.912,0.8243156168829716,0.3607251557476128,1.1076762035433225,-0.2789281669829349,-2.4818336978513296,-4.736636867127291,0.9084714671564094,-6.5325716179056075,-5.201538031749116,0.1956762035433225,-0.08768438311702842,1.4862776720512652,0.012813460455021408,0.008145175873346844,0.012784737834174824,0.0007847378341748236,0.010873358864543041,0.27510526616416614,0.02960748802418888,0.09078473783417483,0.04078473783417483,0.0035223148871476166,0.0747167172862496,0.17990273817956398,0.017945979258164647,0.00048070930721863796,0.228325183777246,0.7532481276573706,0.9999999999999999,0.6199397994182126,0.6221311411986148,0.20055370117763813,0.012911061153486725,0.0009110611534867245,0.0006296132331182203
equilibrium_sigma_1.5,77.0,203.29218803681806,2.41109517179606,0.4390651459190455,0.924,0.837104838790726,0.3715965301603066,1.1205930978926113,-0.27829457316902173,-2.4562177994168515,-4.708369250707889,0.9204134930090951,-6.50303681385838,-5.173042385569957,0.19659309789261126,-0.0868951612092741,1.48709517179606,0.012821611291136764,0.008226690635390981,0.012793761795745047,0.0007937617957450467,0.010869422435197663,0.2751326115022577,0.02990081979185326,0.09079376179574505,0.04079376179574505,0.0035800831567104376,0.07503243916794916,0.1799962361401791,0.018027155064120826,0.0004887644354022479,0.2283321157318396,0.7531519647686374,1.0,0.6197282657574741,0.6219549160767537,0.20180901568619472,0.012922883123087647,0.0009228831230876471,0.0006376986667124829
