scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_services,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,ai_share,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,shadow_capability_to_capital,singularity_time_estimate,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual
equilibrium_sigma_1.35,168.0,165.22103112977265,3.613822126088611,1.5056569107406057,2.016,2.0433648414886605,1.0160865564953698,2.346621324036084,-0.20795393378850457,0.3313871191318374,-2.4063131319967033,2.003920912988273,-4.060299416386167,-2.844922890910534,0.330621324036084,0.027364841488660474,1.597822126088611,0.014875726113914134,0.016146938720875168,0.014934212690326805,0.0029342126903268047,0.007616413010408569,0.01531003713584056,0.0033100371358405593,0.002542428649832118,0.28161882633432367,0.05733614805178663,0.09293421269032681,0.04293421269032681,0.012006427687219844,0.13944416456746717,0.19061294227955575,0.0295730703969097,0.0016500977664645393,0.23036714895223995,0.7384096828843858,1.0,0.576572409739797,0.5835791101252884,0.3355183401785768,196.03388250587534,-6.855849221665267e-12,-4.440892098500626e-16,-3.9968028886505635e-15,0.0,0.0
equilibrium_sigma_1.35,169.0,164.22103112977265,3.6287176717704894,1.5218644099606555,2.028,2.058319351663916,1.023701597611599,2.3619548455993193,-0.2053930536339874,0.3699887678082161,-2.3780582753625388,2.0157217445305267,-4.0269227994429695,-2.8156907481572797,0.3339548455993193,0.030319351663916194,1.6007176717704894,0.014915479766521467,0.0162682005902517,0.01497492454879331,0.0029749245487933097,0.0076137352753253736,0.015357146330163829,0.0033571463301638287,0.002579444944306175,0.281742195602404,0.05774144180096285,0.09297492454879332,0.042974924548793314,0.012203185248680214,0.1402800549899184,0.19100834703403435,0.029782613725854883,0.0016801408579861848,0.23040737518114085,0.7381298702350181,1.0,0.5760123631567546,0.5831283868856846,0.3385269194134218,197.0216070298544,-6.671996288787341e-12,-2.220446049250313e-16,-4.6629367034256575e-15,0.0,0.0
equilibrium_sigma_1.35,170.0,163.22103112977265,3.6436533173310557,1.5381935947839256,2.04,2.0733149270427105,1.0313141602560036,2.377335900652236,-0.20279481464889781,0.4088194942613377,-2.349733524317612,2.0275183936754138,-3.9934015704278636,-2.786372382717731,0.33733590065223584,0.03331492704271044,1.6036533173310556,0.014955928442338062,0.016390311008611425,0.015016345686737105,0.003016345686737105,0.007611457126183319,0.015405107354204972,0.003405107354204972,0.0026171489675430593,0.28186771420223367,0.058148947831789456,0.09301634568673711,0.04301634568673711,0.012404034153547124,0.14112746445041172,0.19141016008971892,0.02999543723137088,0.0017108970231282457,0.23044827473831808,0.7378453910071827,0.9999999999999999,0.5754445988182241,0.5826720832390396,0.3415894975931353,198.0091287192777,-6.48658904367494e-12,-2.220446049250313e-16,-4.440892098500626e-15,-1.1102230246251565e-16,0.0
equilibrium_sigma_1.35,171.0,162.22103112977265,3.6586297655624502,1.5546453169908507,2.052,2.088352284715516,1.0389246471999334,2.392765350818538,-0.20015852106373044,0.44788156341105045,-2.3213384376946,2.03931075537714,-3.9597338966345186,-2.756966993082568,0.340765350818538,0.03635228471551599,1.6066297655624502,0.014997087772592621,0.01651327644922795,0.015058491816729726,0.0030584918167297255,0.00760958495798068,0.015453939896659108,0.0034539398966591077,0.002655556884390009,0.28199542974766584,0.05855866694011425,0.09305849181672973,0.04305849181672973,0.01260907561131131,0.14198658971026637,0.19181851731532967,0.030211606585903526,0.0017423870336868302,0.23048986230292132,0.7375561440774883,0.9999999999999999,0.5748689848941215,0.5822101162718638,0.34470724018504983,198.99644340322607,-6.302292021587164e-12,2.220446049250313e-16,-4.884981308350689e-15,0.0,0.0
equilibrium_sigma_1.35,172.0,161.22103112977265,3.6736477351100354,1.5712204348469418,2.064,2.1034321577056794,1.0465334676604694,2.408244077692829,-0.19748346072133338,0.487177273218691,-2.2928725856654975,2.051098721727651,-3.925917923920623,-2.7274737788816066,0.34424407769282883,0.039432157705679316,1.6096477351100353,0.015038973820844528,0.016637103401147223,0.01510137907819769,0.0031013790781976892,0.007608125262176094,0.015503664203553313,0.003503664203553313,0.0026946853015630268,0.2821253911460536,0.05897059932664605,0.0931013790781977,0.043101379078197694,0.012818413518357228,0.14285763165311283,0.1922335582485188,0.030431189098371076,0.0017746323547126774,0.23053215294320842,0.7372620256037079,1.0,0.5742853867924144,0.5817424014554322,0.3478813406131103,199.98354680813483,-6.118439088709238e-12,-2.220446049250313e-16,-5.995204332975845e-15,2.220446049250313e-16,0.0
equilibrium_sigma_1.35,173.0,160.22103112977265,3.68870796091548,1.5879198131170031,2.076,2.118555295405231,1.0541410374009677,2.423772983407648,-0.194768904616887,0.526708955347196,-2.264335550410204,2.0628821818812693,-3.8919517764564384,-2.6978919412027014,0.34777298340764773,0.042555295405231064,1.61270796091548,0.015081603096791296,0.01676179836565591,0.015145024051068733,0.0031450240510687323,0.007607084632454374,0.015554301100451084,0.0035543011004510842,0.0027345512976229003,0.28225764863960223,0.05938474456385073,0.09314502405106874,0.04314502405106874,0.013032154524887282,0.14374079538327608,0.1926554262147837,0.030654253761850422,0.0018076551698116966,0.2305751621274578,0.7369629289408802,1.0,0.5736936670932049,0.5812688526008025,0.3511130209289774,200.97043455491766,-5.935030245041162e-12,0.0,-6.661338147750939e-15,0.0,0.0
equilibrium_sigma_1.35,174.0,159.22103112977265,3.7038111946605325,1.6047443230709524,2.088,2.1337224640120676,1.0617477788323926,2.4393529912135126,-0.19201410642878702,0.5664789758214119,-2.2357269268111972,2.0746610219779393,-3.857833556481231,-2.668220682924933,0.3513529912135125,0.045722464012067476,1.6158111946605325,0.015124992572569357,0.016887367852550704,0.015189443770673626,0.0031894437706736257,0.007606469771630497,0.015605872010215904,0.003605872010215904,0.0027751724407387712,0.28239225385052613,0.05980110156098476,0.09318944377067363,0.04318944377067363,0.013250408102822589,0.14463629032613096,0.19308426844994447,0.030880871302686276,0.0018414784074054851,0.230618905740385,0.7366587445495233,1.0,0.5730936854814922,0.5807893818122911,0.3544035324974871,201.95710215577583,-5.752287535187861e-12,-4.440892098500626e-16,-6.661338147750939e-15,0.0,0.0
equilibrium_sigma_1.35,175.0,158.22103112977265,3.718958205235922,1.6216948424901672,2.1,2.1489344469918708,1.0693541211254463,2.4549850460830007,-0.18921830203046897,0.6064897357154309,-2.2070463231640773,2.0864351250649693,-3.823561344037477,-2.6384592090516104,0.35498504608300063,0.04893444699187066,1.6189582052359217,0.015169159698015036,0.017013818376259735,0.015234655742662952,0.0032346557426629514,0.0076062874984473665,0.015658398950790797,0.003658398950790797,0.0028165667709245668,0.2825292598262514,0.06021966852821835,0.09323465574266296,0.043234655742662956,0.013473286614775084,0.14554433033132375,0.19352023622782963,0.031111114231287224,0.001876125768024416,0.23066340009559536,0.736349359905093,1.0,0.572485298678013,0.5803038994388239,0.3577541566946629,202.94354501106926,-5.5706550483591855e-12,0.0,-7.105427357601002e-15,0.0,0.0
equilibrium_sigma_1.35,176.0,157.22103112977265,3.734149779226246,1.6387722556700879,2.112,2.1641920455556765,1.0769605003298959,2.4706701153354107,-0.1863807089865248,0.6467436718561557,-2.1782933619093994,2.098204371017352,-3.7891331966949116,-2.6086067270493025,0.3586701153354106,0.05219204555567636,1.622149779226246,0.015214122416422365,0.01714115645179029,0.015280677958472856,0.003280677958472856,0.007606544754787867,0.015711904597370818,0.003711904597370818,0.0028587528588808198,0.2826687210862814,0.06064044293941582,0.09328067795847286,0.04328067795847286,0.013700905383985097,0.14646513377856507,0.19396348499276833,0.031345056894576236,0.0019116217526597339,0.23070866194819095,0.736034659404573,0.9999999999999999,0.5718683603683613,0.5798123140232637,0.3611662056187751,203.92975840609233,-5.38946665074036e-12,-2.220446049250313e-16,-7.993605777301127e-15,-1.1102230246251565e-16,0.0
equilibrium_sigma_1.35,177.0,156.22103112977265,3.7493867214108256,1.6559774534186968,2.124,2.1794960791531603,1.0845673595013154,2.4864091892825453,-0.1835005260328053,0.6872432575429452,-2.149467680386438,2.1099686364567036,-3.7545471492645124,-2.5786624471929835,0.3624091892825452,0.05549607915316024,1.6253867214108255,0.015259899180904354,0.017269388590499805,0.015327528911399858,0.003327528911399858,0.007607248613357837,0.015766412271300823,0.0037664122713008223,0.002901749805994669,0.28281069367090866,0.06106342149351413,0.09332752891139987,0.04332752891139986,0.01393338276516885,0.14739892368602817,0.19441417449704412,0.03158277553014649,0.0019479916922160213,0.23075470850774735,0.7357145242698901,1.0,0.5712427211303611,0.5793145322496198,0.3646410228144282,204.91573750773995,-5.208278253121534e-12,-4.440892098500626e-16,-8.881784197001252e-15,-1.1102230246251565e-16,0.0
