scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,shadow_capability_to_capital,singularity_time_estimate,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual
equilibrium_sigma_1.35,63.0,270.22103115012817,2.1852478356772918,0.3416121875916119,0.756,0.6122113428513388,0.15046291749204585,0.895744221600244,-0.35329223624815054,-2.7746631468343583,-3.1162753344259704,-5.086862505730578,0.7530952573637494,-7.031525395039326,-5.5777172853823505,0.13974422160024402,-0.14378865714866118,1.4292478356772917,0.012909689322208887,0.0070949882492145665,0.012884460991602585,0.0008844609916025849,0.009176211280523424,0.012948036656190709,0.0009480366561907087,0.0007226345355437758,0.2754074575503109,0.025761786962208415,0.09088446099160259,0.04088446099160259,0.002900527953203334,0.09104858391792671,0.703343377938896,0.19983862986561032,0.1691911430319203,0.018096810783785614,0.0003607701100897134,0.22842405896258883,0.753118360143536,1.0000000000000002,0.6089974487749891,0.6107690013363152,0.18393502097970127,91.66614128434311,-1.461092358212568e-11,3.0531133177191805e-16,6.661338147750939e-16,-1.1102230246251565e-16,0.0,-8.31729577571716e-10,3.508199286628155e-11,-5.053131559018542e-10,-4.851872133226909e-10
equilibrium_sigma_1.35,64.0,269.22103115012817,2.1981576044484505,0.3487367112050232,0.768,0.6250976511433328,0.15962729194608247,0.9086957706773466,-0.3525672691953569,-2.751657490635054,-3.100394201840077,-5.063120545266877,0.7650608984937051,-7.006333500470037,-5.553729935020165,0.14069577067734662,-0.1429023488566672,1.4301576044484505,0.012910003001930556,0.007154126898531024,0.01288825825151315,0.00088825825151315,0.009152615186347562,0.012955131051262114,0.000955131051262114,0.0007273630212023541,0.2754189643985247,0.025975433152014806,0.09088825825151316,0.040888258251513154,0.002934786575837466,0.09128573557073502,0.7032459700933537,0.19985758562223788,0.16929307282919218,0.018149904635682966,0.000365213197871159,0.2284156544532688,0.7530692277131771,1.0,0.6088385571676075,0.6106306277366843,0.1845576125139314,92.66494362920939,-1.4630130440451694e-11,8.326672684688674e-17,6.106226635438361e-16,-1.1102230246251565e-16,0.0,-4.747072474692304e-10,2.171030195896595e-11,-2.879197141120171e-10,-2.7617386502698515e-10
equilibrium_sigma_1.35,65.0,268.22103115012817,2.211068139148496,0.3559205777774031,0.78,0.6379880573350452,0.16876829594393536,0.9216546187279856,-0.3518373873331248,-2.7285609794500747,-3.0844815572274777,-5.039360044781808,0.7770260773855643,-6.981113236260505,-5.529722231717489,0.14165461872798557,-0.14201194266495487,1.4310681391484958,0.01291120911266791,0.00721367472451628,0.012892649473875369,0.0008926494738753683,0.00912946335074213,0.012962630532298292,0.0009626305322982913,0.0007324601308811296,0.27543227113295565,0.02619037593105465,0.09089264947387538,0.04089264947387537,0.002969504886989016,0.0915254112367953,0.7031475255327384,0.1998767360149389,0.16939574303047214,0.018203595017791816,0.00036971879492890823,0.22840899816819085,0.7530176880190883,0.9999999999999998,0.6086779744713471,0.6104908299744182,0.18518883117349705,93.66355876319211,-1.464711685272846e-11,1.942890293094024e-16,5.551115123125783e-17,0.0,0.0,-7.444948997570311e-11,3.701645760745276e-12,-4.5067435894274865e-11,-4.3178152026035477e-11
equilibrium_sigma_1.35,66.0,267.22103115012817,2.2239802966967215,0.3631641981675186,0.792,0.6508831338683491,0.17788635311236867,0.9346211588700808,-0.35110223386965034,-2.7053725177449133,-3.068536715912432,-5.0155804084743405,0.7889907854421303,-6.9558632930260895,-5.50569345562148,0.14262115887008076,-0.14111686613165098,1.4319802966967214,0.012913238211122974,0.007273635054609265,0.01289759258632587,0.0008975925863258689,0.009106715445333296,0.012970511728549461,0.0009705117285494606,0.0007379027508469527,0.27544725026159356,0.02640663520039303,0.09089759258632588,0.04089759258632587,0.0030046914099204638,0.09176764968695471,0.7030480283322841,0.19989608391397035,0.16949920487069492,0.018257891621869533,0.0003742882064261368,0.22840394359128283,0.7529638765804215,1.0,0.6085156747097402,0.6103495868704585,0.1858287468186903,94.66200000690202,-1.4663215086585524e-11,4.440892098500626e-16,-1.1102230246251565e-16,0.0,0.0,-7.957783043632816e-11,4.225363114951364e-12,-4.8098296179244215e-11,-4.604167047617125e-11
equilibrium_sigma_1.35,67.0,266.22103115012817,2.236894868576883,0.3704679864873918,0.804,0.6637834135745806,0.18698184912860533,0.9475957622890101,-0.3503614737279679,-2.6820910354584666,-3.0525590219458585,-4.991781065575874,0.800955013949299,-6.930582429844257,-5.4816429189567,0.14359576228901005,-0.14021658642541945,1.4328948685768828,0.012916027270764435,0.007334011147930321,0.012903049472470125,0.000903049472470125,0.009084334972310749,0.012978753575754176,0.0009787535757541758,0.0007436700086294046,0.2754637862802125,0.026624229801553222,0.09090304947247013,0.04090304947247013,0.0030403547825847256,0.092012489535559,0.7029474626315056,0.19991563216999425,0.16960350663189738,0.01831280413597584,0.00037892275279698535,0.22840035752200039,0.7529079155892268,0.9999999999999999,0.6083516320111755,0.6102068774092728,0.18647743615888324,95.66027943458226,-1.46807566103746e-11,-1.6653345369377348e-16,-2.7755575615628914e-16,0.0,0.0,-5.055894418404261e-11,2.9319307398578687e-12,-3.048310909248286e-11,-2.9135464874041617e-11
equilibrium_sigma_1.35,68.0,265.22103115012817,2.2498125854885616,0.3778323601163866,0.8160000000000001,0.6766893925619881,0.19605513452774928,0.9605787799138333,-0.349614791919424,-2.6587154857030186,-3.0365478458194053,-4.96796146823516,0.812918754069352,-6.9052694688864555,-5.457569963374914,0.14457877991383328,-0.13931060743801194,1.4338125854885615,0.012919519235494822,0.00739480620000711,0.012908985700245547,0.0009089857002455466,0.00906228900436606,0.012987337157932544,0.0009873371579325434,0.0007497431189773529,0.2754817748492289,0.02684317757156271,0.09090898570024555,0.04090898570024555,0.003076503764249477,0.09225996929064835,0.7028458126135818,0.19993538361798263,0.1697086938667193,0.018368342256185125,0.0003836237709534335,0.2283981191493726,0.752849914823489,1.0,0.6081858205752655,0.6100626807088946,0.18713498252384408,96.65840795900127,-1.4694967465089803e-11,2.7755575615628914e-17,-2.220446049250313e-16,0.0,0.0,2.0269412884243998e-11,-1.287084154533158e-12,1.2186029962890643e-11,1.1626848789303423e-11
equilibrium_sigma_1.35,69.0,264.22103115012817,2.2627341240503682,0.3852577395879337,0.8280000000000001,0.6896015343395637,0.2051065286917686,0.9735705448219377,-0.34886189120670197,-2.635244841645231,-3.0205025812331647,-4.944121088719266,0.8248819968317036,-6.879923287945116,-5.433473956377803,0.14557054482193765,-0.13839846566043634,1.4347341240503682,0.012923662384283774,0.007456023351290115,0.012915370130331873,0.0009153701303318725,0.009040547805098678,0.012996245465912715,0.0009962454659127144,0.0007561051487692261,0.2755011216070663,0.027063495450752737,0.09091537013033188,0.04091537013033188,0.003113147244657205,0.09251012742267678,0.7027430624771301,0.19995534108258908,0.1698148097226742,0.018424515702506302,0.0003883926161123602,0.22839711873851715,0.7527899729428641,0.9999999999999998,0.6080182146268065,0.6099169759800485,0.18780147544472242,97.65639545438586,-1.4709178319805005e-11,2.220446049250313e-16,4.440892098500626e-16,-1.1102230246251565e-16,0.0,5.933612282071898e-11,-4.1361497560288285e-12,3.555560706969274e-11,3.3854847744652083e-11
equilibrium_sigma_1.35,70.0,263.22103115012817,2.275660111642353,0.3927445485502939,0.84,0.7025202728098295,0.21413632275215852,0.9865713739840387,-0.3481024904100537,-2.6116780941849926,-3.0044226427352867,-4.920259417313086,0.836844733125272,-6.854542814945641,-5.409354288654068,0.14657137398403874,-0.13747972719017043,1.435660111642353,0.012928409870986785,0.007517665692906505,0.012922174634006807,0.0009221746340068067,0.009019084556829794,0.013005463258553007,0.001005463258553007,0.0007627408793453583,0.27552174131517215,0.027285199552753155,0.09092217463400681,0.04092217463400681,0.0031502942515618886,0.09276300241671467,0.7026391964147642,0.19997550738218978,0.16992189517660272,0.01848133423115311,0.00039323066323100977,0.22839725667602517,0.7527281784295906,0.9999999999999999,0.6078487883808011,0.6097697424953606,0.18847701038769107,98.65425084501015,-1.472305610761282e-11,-1.3877787807814457e-16,-3.3306690738754696e-16,0.0,0.0,2.087985687126981e-11,-1.6018358514613418e-12,1.2464154708347053e-11,1.1839964772497602e-11
equilibrium_sigma_1.35,71.0,262.22103115012817,2.288591131052298,0.4002932137203434,0.852,0.715446015139136,0.22314478237313404,0.9995815699402364,-0.3473363227807478,-2.5880142497376926,-2.9883074634580358,-4.89637596032021,0.8488069536907243,-6.829127022694154,-5.385210371538796,0.1475815699402364,-0.136553984860864,1.4365911310522983,0.01293371928393694,0.007579736272392385,0.012929373822771782,0.000929373822771782,0.008997875099359516,0.013014976900649344,0.001014976900649344,0.0007696366527421006,0.27554355703870237,0.027508305234398015,0.09092937382277179,0.040929373822771786,0.003187953958388331,0.09301863282309056,0.7025341985922935,0.1999958853327883,0.17002998926029095,0.01853880764651498,0.00039813930847286557,0.22839844255584382,0.7526646104891683,1.0,0.6076775160085293,0.609620959559674,0.1891616884965398,99.6519821902061,-1.473626776160586e-11,1.942890293094024e-16,-3.3306690738754696e-16,0.0,0.0,-4.8138012673226704e-11,3.886318350465601e-12,-2.868641088560331e-11,-2.722478492644953e-11
equilibrium_sigma_1.35,72.0,261.22103115012817,2.3015277246924533,0.40790416484389447,0.864,0.7283791443644962,0.23213215028035267,1.0126014223243094,-0.3465631345225112,-2.564252328214349,-2.972156493058243,-4.872470238245236,0.8607686491128609,-6.8036749241027055,-5.361041634702737,0.1486014223243094,-0.13562085563550375,1.4375277246924534,0.012939552246880814,0.007642238098983786,0.01293694480339231,0.0009369448033923096,0.008976897693220395,0.013024774201397804,0.0010247742013978038,0.0007767802101543708,0.2755664994042191,0.027732827159710902,0.09093694480339232,0.040936944803392314,0.003226135691748959,0.09327705730438142,0.7024280531294226,0.20001647775161735,0.17013912926581634,0.018596945812357792,0.0004031199706387221,0.22840059435002993,0.7525993398669736,1.0,0.6075043716060644,0.6094706064827102,0.18985561636552564,100.64959676146346,-1.4746981413793492e-11,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,-3.125532124781394e-11,2.7877986377711217e-12,-1.853856998468295e-11,-1.7542970548456438e-11
equilibrium_sigma_1.35,73.0,260.22103115012817,2.3144703984620842,0.41557783465912024,0.876,0.7413200217825361,0.24109864857872523,1.0256312092629023,-0.34578268343495344,-2.5403913611679725,-2.955969195827093,-4.8485417841305045,0.8727298098130789,-6.778185567812858,-5.3368475240358215,0.1496312092629023,-0.1346799782174639,1.4384703984620844,0.012945874054131293,0.007705174148562124,0.012944866953886656,0.0009448669538866562,0.008956132803038992,0.013034844307258098,0.0010348443072580975,0.0007841605875746893,0.27559050592086864,0.027958779359309786,0.09094486695388666,0.04094486695388666,0.003264848938877037,0.09353831467939235,0.7023207440816867,0.20003728746049013,0.17024935093423305,0.018655758662397073,0.0004081740925774869,0.22840363765000377,0.7525324295950216,1.0,0.6073293291648071,0.6093186625536835,0.19055890583637833,101.64710111300359,-1.4757861599434818e-11,-1.942890293094024e-16,2.220446049250313e-16,-1.1102230246251565e-16,0.0,1.1658587290019895e-11,-1.1518277651112463e-12,6.877588776266208e-12,6.4862958754074995e-12
equilibrium_sigma_1.35,74.0,259.22103115012817,2.3274196252569443,0.4233146588648709,0.888,0.7542689891216963,0.25004448086059994,1.038671198650041,-0.3449947376785739,-2.5164303901031584,-2.9397450489680295,-4.824590142043505,0.8846904260419287,-6.752658034213098,-5.312627499721165,0.15067119865004097,-0.13373101087830375,1.4394196252569444,0.01295265333967216,0.007768547368231854,0.012953121720372156,0.0009531217203721555,0.00893556290098101,0.013045177590376156,0.0010451775903761555,0.0007917680117097703,0.2756155203647641,0.028186175284869837,0.09095312172037216,0.04095312172037216,0.003304103354965321,0.09380244396415068,0.7022122554236137,0.20005831728890242,0.1703606886275992,0.018715256210247385,0.00041330314257298636,0.22840750497779408,0.7524639356693856,1.0,0.6071523625440189,0.6091651070178444,0.191271673820317,102.64450114583697,-1.4768353207017526e-11,-2.220446049250313e-16,4.440892098500626e-16,0.0,0.0,3.5694070962821733e-11,-3.916146053273284e-12,2.0924156504675828e-11,1.965664783720733e-11
equilibrium_sigma_1.35,75.0,258.22103115012817,2.340375848154475,0.43111507609405225,0.9,0.7672263705155099,0.25896983412153457,1.0517216493072248,-0.34419907465137634,-2.4923684649347053,-2.9234835410287574,-4.800614865701883,0.8966504878717392,-6.727091431817083,-5.288381034483276,0.15172164930722476,-0.13277362948449012,1.440375848154475,0.012959861777396123,0.00783236068055612,0.01296169243305851,0.0009616924330585093,0.008915172288646363,0.013055765513136919,0.0010557655131369185,0.0007995937623128668,0.27564149222138945,0.028415027858960117,0.09096169243305852,0.040961692433058514,0.003343908770429743,0.09406948441018304,0.7021025710330026,0.2000795700769077,0.17047317548570584,0.018775448558807313,0.00041850861571070274,0.22841213516152384,0.7523939076639582,1.0,0.6069734454451773,0.6090099190547833,0.1919940421434093,103.64180216582903,-1.4777123968912065e-11,5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,1.331861357312114e-11,-1.6269850050543155e-12,7.75021193055725e-12,7.24751508807131e-12
equilibrium_sigma_1.35,76.0,257.22103115012817,2.353339483312493,0.4389795278912514,0.912,0.7801924743000559,0.2678748805058648,1.064782812042507,-0.3433954799640254,-2.4682046425781063,-2.9071841704693577,-4.776615517220805,0.9086099851892858,-6.701484893961304,-5.264107611990879,0.15278281204250688,-0.13180752569994414,1.4413394833124933,0.012967473808862609,0.007896616987493605,0.012970564139156308,0.0009705641391563082,0.008894946935247526,0.013066600569322517,0.001066600569322517,0.0008076301166726196,0.27566837617926154,0.02864534952082641,0.09097056413915632,0.04097056413915631,0.003384275198128135,0.09433947554041697,0.7019916746761768,0.20010104867779266,0.17058684356930665,0.01883634590915587,0.00042379203523115554,0.22841747276777277,0.7523223892878402,1.0,0.6067925513879205,0.608853077758282,0.19272613741261974,104.63900893646598,-1.4784617974328285e-11,1.6653345369377348e-16,-5.551115123125783e-17,0.0,0.0,-2.8650019856524267e-11,3.706793552660237e-12,-1.6613824899147644e-11,-1.550661508920026e-11
equilibrium_sigma_1.35,77.0,256.22103115012817,2.3663109226024894,0.44690845869516443,0.924,0.7931675946488218,0.2767597788949225,1.0778549306161143,-0.34258374650620516,-2.4439379856608983,-2.890846444356063,-4.752591665972179,0.920568907688482,-6.675837575797039,-5.239806725401506,0.15385493061611422,-0.13083240535117824,1.4423109226024895,0.012975466396487723,0.007961319174055612,0.012979723451452312,0.0009797234514523114,0.00887487433089279,0.013077676163097962,0.0010776761630979619,0.0008158702319294164,0.2756961316710676,0.028877152268332304,0.09097972345145232,0.040979723451452316,0.003425212840551034,0.09461245718291622,0.701879549994128,0.20012275596057016,0.17070172399084563,0.018897958569006154,0.00042915495387307683,0.2284234675864934,0.7522494188906275,1.0,0.606609653687446,0.6086945621175849,0.19346809090150294,105.6361257267051,-1.479144584592973e-11,3.885780586188048e-16,-6.106226635438361e-16,0.0,0.0,-1.8962121803300924e-11,2.7434443605756087e-12,-1.0894726093502172e-11,-1.0110811493602156e-11
equilibrium_sigma_1.35,78.0,255.22103115012817,2.3792905360232033,0.4549023158226835,0.936,0.8061520130722543,0.2856246763637714,1.0909382426286809,-0.34176367358846826,-2.4195675613372467,-2.87446987715993,-4.7285428875415,0.9325272448630606,-6.650148651530884,-5.21547787602832,0.15493824262868083,-0.1298479869277458,1.4432905360232033,0.012983818797922014,0.00802647011173905,0.012989158409848857,0.0009891584098488566,0.008854943352289226,0.013088986557940885,0.0010889865579408846,0.0008243080978909134,0.27572472245408747,0.029110447696889363,0.09098915840984886,0.04098915840984886,0.0034667320970170512,0.0948884695028111,0.7017661804894009,0.20014469481231792,0.1708178470348732,0.01896029696079724,0.000434598955215198,0.22843007415996155,0.7521750299240259,0.9999999999999999,0.6064247254331164,0.6085343509998653,0.19422003845152025,106.63315635475364,-1.479594224917946e-11,-1.1102230246251565e-16,-3.3306690738754696e-16,0.0,0.0,6.545822911485644e-12,-1.0621538371058392e-12,3.720253272110341e-12,3.4294754536201566e-12
