countrycode,country,year,cn,cgdpo,pl_n,pl_gdpo
MMR,Myanmar,2019,861099.875,341293.03125,0.16102607548236847,0.21038295328617096
MNE,Montenegro,2019,53045.11328125,15899.4169921875,0.27602025866508484,0.34857890009880066
MNG,Mongolia,2019,193279.53125,43627.33203125,0.21396629512310028,0.3256295621395111
MOZ,Mozambique,2019,202906.890625,46566.1640625,0.2806699872016907,0.333133727312088
MRT,Mauritania,2019,106496.65625,25638.521484375,0.2840164005756378,0.30792587995529175
MSR,Montserrat,2019,1190.841552734375,102.71118927001953,0.5935688614845276,0.6551271080970764
MUS,Mauritius,2019,109798.890625,32598.982421875,0.32912716269493103,0.44284653663635254
MWI,Malawi,2019,33079.1953125,30223.419921875,0.3567817509174347,0.3656717836856842
MYS,Malaysia,2019,3862533.25,937316.8125,0.21909920871257782,0.389599084854126
NAM,Namibia,2019,103928.75,25468.6484375,0.2931027114391327,0.4924358129501343
NER,Niger,2019,152550.015625,33840.3515625,0.2772497832775116,0.38168808817863464
NGA,Nigeria,2019,6125918.5,1185539.875,0.38532277941703796,0.4002533257007599
NIC,Nicaragua,2019,184460.765625,39269.03515625,0.24674299359321594,0.3233851492404938
NLD,Netherlands,2019,4964761.5,1102079.75,0.6231722831726074,0.8428635597229004
NOR,Norway,2019,2082422.0,460949.53125,0.7667508125305176,0.8867409825325012
NPL,Nepal,2019,442938.625,138573.25,0.20509086549282074,0.2472933977842331
NZL,New Zealand,2019,688867.0,224138.75,1.0404759645462036,0.9496211409568787
OMN,Oman,2019,1026016.625,189232.15625,0.2703210413455963,0.46535927057266235
PAK,Pakistan,2019,2047767.625,1279744.25,0.18086093664169312,0.22810712456703186
PAN,Panama,2019,636516.5,146851.890625,0.34930169582366943,0.4747762978076935
PER,Peru,2019,1830021.875,450548.28125,0.31167367100715637,0.5067732930183411
PHL,Philippines,2019,3545403.5,1066344.375,0.23302008211612701,0.35337868332862854
