scenario,terminal_boundary_z,time,path_label,population_law_log_residual,final_ces_log_residual,final_output_log_residual,ai_share_residual,inference_identity_log_residual,research_service_identity_log_residual,research_ces_log_residual,capability_law_level_residual,wage_log_residual,ai_price_log_residual,ai_marginal_cost_log_residual,gross_return_residual,net_return_residual,inverse_elasticity_residual,monopoly_foc_log_residual,research_compute_foc_log_residual,research_human_foc_log_residual,labor_market_residual,resource_constraint_residual,household_budget_residual,final_firm_zero_profit_residual,research_machine_technology_share_residual,research_machine_cost_share_residual,inference_resource_share_residual,research_resource_share_residual,investment_share_residual,consumption_share_residual,resource_share_sum_residual,production_labor_income_share_residual,aggregate_labor_income_share_residual,ai_operating_profit_share_residual,ai_markup_residual,shadow_capability_to_capital_residual,capital_rhs_residual,capability_rhs_residual,consumption_euler_rhs_residual,shadow_costate_rhs_residual,reconstructed_ai_share,reconstructed_research_machine_share,reconstructed_output_capital_ratio,reconstructed_capability_growth,reconstructed_monopoly_soc_margin,minimum_positive_share_or_soc,positive_and_interior,share_clipping_detected,bounded_exp_clipping_detected,minimum_bounded_exp_argument,maximum_bounded_exp_argument,stored_capital_law_residual,stored_capability_law_residual,stored_consumption_euler_path_residual,stored_shadow_costate_residual
equilibrium_sigma_1.5_z_32,32.0,845.1575172052411,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,2.220446049250313e-16,0.0,-1.5265566588595902e-16,-1.1102230246251565e-16,4.440892098500626e-16,5.551115123125783e-16,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-4.996003610813204e-16,5.551115123125783e-17,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.5418671716918851,0.9805189181935922,0.38169204001625867,0.029971170729796645,0.22189271529769455,0.0044972925048505225,1,0,0,-3.6253490429691873,-0.963141173479686,0.0,-3.469446951953614e-18,0.0,0.0
equilibrium_sigma_1.5_z_32,32.0,845.5249769953303,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,-1.7763568394002505e-15,4.440892098500626e-16,0.0,1.6653345369377348e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,-5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.544778985165672,0.9809267319584929,0.38342092219739365,0.030147877176356135,0.22188916446210566,0.004456497495727765,1,0,0,-3.614787362498152,-0.9586218797045767,0.0,3.469446951953614e-18,0.0,3.469446951953614e-18
equilibrium_sigma_1.5_z_32,32.0,845.8924367854196,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,-2.220446049250313e-16,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5477160750119077,0.9813301276407599,0.385191359933429,0.03032740854455935,0.2218855635246503,0.004415343508342037,1,0,0,-3.604184459254503,-0.9540150293890886,0.0,0.0,0.0,3.469446951953614e-18
equilibrium_sigma_1.5_z_32,32.0,846.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.7763568394002505e-15,0.0,0.0,2.220446049250313e-16,0.0,-8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5485806421840144,0.9814473736672836,0.38571766116516,0.030380507918615178,0.221884499857568,0.004403229549779571,1,0,0,-3.6010727557725577,-0.9526496249143879,-2.0172163800458165e-09,-6.366141745706155e-10,-3.3227023216175766e-09,-1.4700791660382517e-09
equilibrium_sigma_1.5_z_32,32.0,846.2200251495891,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1.1102230246251565e-16,-8.881784197001252e-16,1.7763568394002505e-15,3.552713678800501e-15,-6.661338147750939e-16,0.0,-6.938893903907228e-17,0.0,-1.1102230246251565e-16,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,2.220446049250313e-16,3.3306690738754696e-15,0.0,0.0,0.0,0.0,0.0,0.5503559926630118,0.9816860250826248,0.3868058312848701,0.030489910987136663,0.22188231040461479,0.004378355681403502,1,0,0,-3.594696079967754,-0.9498324398060092,1.8106350516133851e-09,5.636787391016806e-10,2.9519045124937193e-09,1.3081832041239583e-09
equilibrium_sigma_1.5_z_32,32.0,846.2598965755087,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,1.7763568394002505e-15,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-3.3306690738754696e-15,0.0,0.0,0.0,0.0,0.0,0.5506786961746136,0.9817291020981873,0.3870047074704716,0.03050985039649648,0.22188191167035026,0.004373834717719295,1,0,0,-3.5935388625947304,-0.9493184220199495,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_32,32.0,846.6273563655981,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,-1.7763568394002505e-15,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-1.7763568394002505e-15,-3.552713678800501e-15,4.440892098500626e-16,0.0,-1.1102230246251565e-16,0.0,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,2.0816681711721685e-17,0.5536671058787457,0.982123652447811,0.38886237614409563,0.030695291863448788,0.2218782080702517,0.004331975457690078,1,0,0,-3.582849042815626,-0.9445297867943836,-6.938893903907228e-18,0.0,0.0,0.0
equilibrium_sigma_1.5_z_32,32.0,846.9948161556873,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,1.7763568394002505e-15,0.0,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,2.7755575615628914e-17,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,8.881784197001252e-16,0.0,0.0,-5.551115123125783e-16,0.0,-4.579669976578771e-16,-1.1102230246251565e-16,-3.3306690738754696e-16,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-4.996003610813204e-16,1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.5566815636254459,0.9825137760664701,0.39076583738826265,0.030883825830754337,0.22187445188120747,0.004289770222070812,1,0,0,-3.5721134086339443,-0.9396467797577852,0.0,0.0,0.0,3.469446951953614e-18
equilibrium_sigma_1.5_z_32,32.0,847.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.0,-4.440892098500626e-16,-4.440892098500626e-16,1.1102230246251565e-16,3.552713678800501e-15,0.0,1.7763568394002505e-15,-1.1102230246251565e-16,-3.4416913763379853e-15,-3.2612801348363973e-15,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,6.938893903907228e-16,2.636779683484747e-16,8.881784197001252e-16,1.6653345369377348e-15,-1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-16,-7.494005416219807e-16,-6.8833827526759706e-15,0.0,-1.3877787807814457e-15,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.5567242768907381,0.9825192479582575,0.3907930248306276,0.03088650810637906,0.22187439851146187,0.00428917236993937,1,0,0,-3.5719616228524256,-0.9395772074102879,-3.579080365412324e-10,-1.1340602415477186e-10,-5.917966602875246e-10,-2.6198142960565107e-10
equilibrium_sigma_1.5_z_32,32.0,847.3622759457766,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,1.7763568394002505e-15,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-8.881784197001252e-16,-1.7763568394002505e-15,0.0,2.220446049250313e-16,0.0,3.7470027081099033e-16,0.0,-2.220446049250313e-16,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.5597223311855977,0.9828994705913184,0.39271662593618334,0.03107554913426754,0.2218706422456576,0.004247223665805614,1,0,0,-3.561330304534529,-0.9346669807945496,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_32,32.0,847.7297357358657,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-1.7763568394002505e-15,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.48947520983711e-11,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1.249000902703301e-16,-1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.5627896725944701,0.9832807339204143,0.3947163432326702,0.03127056276926796,0.2218667782914058,0.004204340606011172,1,0,0,-3.550498007978936,-0.9295878904498451,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_32,32.0,848.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,-2.76560996326225e-11,0.0,-1.7763568394002505e-15,-3.3306690738754696e-16,0.0,-4.163336342344337e-17,0.0,-2.220446049250313e-16,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,0.0,-1.3877787807814457e-17,0.5650627969373673,0.9835583214257521,0.39621931966480317,0.03141615512555297,0.2218639011954139,0.004172588525062972,1,0,0,-3.542498488993415,-0.9257873835016799,2.7024907867101433e-09,8.408469684417774e-10,4.4104270305322935e-09,1.9580543610120404e-09
equilibrium_sigma_1.5_z_32,32.0,848.0971955259549,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-1.7763568394002505e-15,0.0,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-3.214140065210813e-11,-1.7763568394002505e-15,0.0,4.440892098500626e-16,0.0,4.163336342344337e-16,0.0,-3.3306690738754696e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,0.0,1.6653345369377348e-16,0.0,0.0,0.0,2.7755575615628914e-17,0.0,-6.938893903907228e-18,0.5658838541333705,0.983657564212831,0.3967666610486408,0.03146897211276405,0.2218628591314083,0.004161126023196525,1,0,0,-3.5396147264648814,-0.9244069266359336,0.0,0.0,0.0,0.0
