scenario,normalization,omega_h,chi,time,time_to_terminal,log_capability,log_output_per_capita,capability_growth,output_per_capita_growth,wage_growth,aggregate_labor_share,human_research_share,automated_research_share,ai_share,output_capital_ratio,singularity_time_estimate
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,243.0,1285.801258181119,0.4976299102396417,0.21091309782803336,0.0023640268565577527,0.0003049538225394881,0.00020212479245884651,0.6181015922825124,0.0,1.0,0.07746031002610074,0.2735459197154244,320.2143281362771
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,244.0,1284.801258181119,0.4999951635979298,0.21121841906624628,0.002366479544522488,0.0003056889367312292,0.000202612182587103,0.6180379602393675,0.0,1.0,0.07755528322482436,0.27354788427386945,321.21377360060296
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,244.60820130897903,1284.19305687214,0.501434912943102,0.211404475660526,0.002367970344451351,0.0003061368606514063,0.00020290915614396,0.617999187415759,0.0,1.0,0.07761315311080753,0.27354908131990446,321.82163702344803
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,245.0,1283.801258181119,0.5023628686954652,0.21152447626702342,0.0023689303339800597,0.0003064257473437519,0.00020310069182016832,0.6179741814819452,0.0,1.0,0.07765047540008202,0.2735498533303464,322.2132178032623
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,246.0,1282.801258181119,0.504733023631398,0.2118312711341095,0.002371379219115104,0.0003071642699201786,0.0002035903401420569,0.6179102557018438,0.0,1.0,0.07774588701217353,0.27355182689642443,323.21266074104426
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,247.0,1281.801258181119,0.5071056264968593,0.21213880537603869,0.002373826194154489,0.0003079045000196172,0.00020408111867098455,0.6178461825900298,0.0,1.0,0.0778415185223438,0.2735538049833997,324.2121024108154
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,247.1562034059476,1281.6450547751715,0.5074764560730772,0.21218691014976665,0.002374208247131986,0.00030802028073796325,0.00020415788171135318,0.6178361608273695,0.0,1.0,0.07785647637706035,0.2735541143763421,324.36821848896096
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,248.0,1280.801258181119,0.5094806753809598,0.21244708070513507,0.0023762712533517845,0.0003086464443034058,0.00020457303406828942,0.6177819618367153,0.0,1.0,0.07793737039296234,0.27355578760318017,325.2115428092699
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,249.0,1279.801258181119,0.511858168363414,0.212756098838899,0.0023787143910067657,0.00030939010943288256,0.00020506608855441755,0.6177175931315017,0.0,1.0,0.07803344308731096,0.2735577747671302,326.2109819332556
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,249.7042055029161,1279.097052678203,0.5135338775586721,0.21297415776422035,0.0023804337058887185,0.0003099148363614572,0.000205413983600522,0.6176721753874812,0.0,1.0,0.07810123076495337,0.2735591768719899,326.91479169769116
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,250.0,1278.801258181119,0.5142381035201843,0.21306586149890272,0.0023811556014506864,0.0003101354954080475,0.00020556028212936894,0.6176530761632695,0.0,1.0,0.07812973706974698,0.27355976648698616,327.2104197795157
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,251.0,1277.801258181119,0.5166204789222473,0.2133763704111593,0.002383594879049713,0.0003108826155515769,0.0002060556281158199,0.6175884106201986,0.0,1.0,0.07822625280567364,0.2735617627746023,328.2098563447605
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,252.0,1276.801258181119,0.5190052926321141,0.21368762730671165,0.0023860322182142537,0.0003116314632021326,0.00020655211319109412,0.6175235961898363,0.0,1.0,0.07832299076143816,0.27356376364144036,329.2092916258113
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,252.25220759988466,1276.5490505812343,0.5196071455729119,0.21376624697949298,0.0023866466269202103,0.00031182060523749985,0.00020667751732261763,0.617507225950287,0.0,1.0,0.07834742395479584,0.2735642689997947,329.46135659610223
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,253.0,1275.801258181119,0.521392542710479,0.21399963392040222,0.0023884676133814676,0.000312382053902837,0.0002070497595596521,0.617458632558967,0.0,1.0,0.07841995140452696,0.27356576909960845,330.2087256193075
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,254.0,1274.801258181119,0.523782227209408,0.21431239199228624,0.002390901059033548,0.0003131343809923519,0.00020754855389881754,0.6173935194137397,0.0,1.0,0.07851713520337347,0.273567779160737,331.20815832202334
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,254.8002096968532,1274.0010484842658,0.5256962280517843,0.21456320646155902,0.002392846917971162,0.0003137376584203648,0.0002079485272865611,0.6173413073409807,0.0,1.0,0.07859506367017789,0.2735693909544843,332.0079131301684
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,255.0,1273.801258181119,0.5261743441765154,0.21462590326671416,0.0023933325496867126,0.00031388845557290754,0.0002080485028699286,0.6173282564395908,0.0,1.0,0.07861454262747633,0.2735697938367006,332.20758973066467
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,256.0,1272.801258181119,0.5285688916554389,0.21494016949237604,0.002395762079890063,0.00031464428208539605,0.0002085496175752155,0.6172628433212288,0.0,1.0,0.07871217414741954,0.2735718131396361,333.2070198418636
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,257.0,1271.801258181119,0.5309658676810933,0.21525519242322178,0.0023981896442385113,0.0003154018649707095,0.00020905189357378617,0.6171972797427269,0.0,1.0,0.078810030234736,0.2735738370811868,334.20644865239194
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,257.3482117938217,1271.4530463872973,0.5318010926981852,0.21536506506853703,0.0023990344883375162,0.0003156660802870019,0.00020922707122394968,0.6171744143555286,0.0,1.0,0.07884415767831553,0.27357454293258754,334.55446124536934
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,258.0,1270.801258181119,0.533365270286588,0.2155709738170537,0.0024006152373542383,0.0003161612108901861,0.0002095553397474248,0.617131565387388,0.0,1.0,0.07890811136210742,0.27357586567365205,335.2058761588366
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,259.0,1269.801258181119,0.5357670974972982,0.21588751543687135,0.002403038853902902,0.0003169223176233797,0.00021005995165523927,0.6170656999378555,0.0,1.0,0.07900641800320041,0.2735778989289434,336.2053023578942
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,259.89621389079025,1268.9050442903288,0.5379217069858784,0.216171851852482,0.0024052092488713664,0.00031760594189168476,0.0002105131913232583,0.6170065417604319,0.0,1.0,0.07909471379040026,0.27357972513245055,337.10100088668577
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,260.0,1268.801258181119,0.5381713473334494,0.21620481905022926,0.002405460488586762,0.0003176852029338588,0.0002105657426199059,0.6169996830760658,0.0,1.0,0.07910495063273762,0.27357993685907694,337.2047272462323
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,261.0,1267.801258181119,0.5405780178121616,0.2165228864289266,0.002407880136139233,0.000318449851278501,0.0002110726993187484,0.6169335144832033,0.0,1.0,0.0792037097265623,0.2735819794764652,338.20415082040694
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,262.0,1266.801258181119,0.5429871069417865,0.21684171935022079,0.002410297791340537,0.0003192162826413207,0.00021158083951533513,0.6168671938398095,0.0,1.0,0.07930269576147812,0.27358402679295646,339.20357307713357
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,262.4442159877588,1266.3570421933603,0.5440580381634658,0.21698359606120343,0.0024113711119856554,0.00031955731650913297,0.00021180694087519214,0.6168376842924924,0.0,1.0,0.07934673986195176,0.27358493775425924,339.6475319985931
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,263.0,1265.801258181119,0.5453986127287056,0.21716131959531682,0.0024127134489991607,0.0003199845014632101,0.00021209016543011217,0.6168007208256536,0.0,1.0,0.0794019092154425,0.2735860788210274,340.2029940129509
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,264.0,1264.801258181119,0.5478125331725385,0.2174816889505693,0.002415127103965233,0.000320754503303277,0.0002126006681812953,0.6167340951198169,0.0,1.0,0.07950135056743764,0.27358813557288636,341.2024136244735
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,264.9922180847273,1263.8090400963918,0.5502100532583704,0.21780032714009767,0.002417519991658608,0.0003215202885162964,0.0002131083776113485,0.6166678366585736,0.0,1.0,0.07960024379317357,0.2735901810000574,342.1940545250565
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,265.0,1263.801258181119,0.550228866267108,0.21780282920716676,0.0024175387511279536,0.00032152630370464383,0.00021311236553245294,0.6166673164006781,0.0,1.0,0.07960102029749543,0.27359019706069776,342.2018319083286
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,266.0,1262.801258181119,0.552647610003829,0.21812474216045796,0.0024199483854063647,0.00032229989822641844,0.00021362525304269298,0.6166003843458454,0.0,1.0,0.07970091888679766,0.27359226329714054,343.20124886099893
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,267.0,1261.801258181119,0.5550687623655272,0.2184474296114165,0.002422356001766685,0.00032307530019127714,0.0002141393351529075,0.616533298632271,0.0,1.0,0.0798010468175057,0.27359433429428925,344.2006644791378
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,267.5402201816958,1261.2610379994233,0.5563777190808307,0.21862207473400597,0.0024236558034379098,0.0003234949400696789,0.00021441755260198647,0.6164969935353597,0.0,1.0,0.07985523352931378,0.2735954550737683,344.7405684095257
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,268.0,1260.801258181119,0.5574923213327412,0.21877089336510558,0.002424761595204839,0.0003238525073787739,0.00021465461630398863,0.6164660589361333,0.0,1.0,0.07990140457293544,0.2735964100647912,345.2000787592374
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,269.0,1259.801258181119,0.5599182848802461,0.2190951352316568,0.0024271651607563646,0.0003246315264502468,0.0002151710942754903,0.6163986649328964,0.0,1.0,0.08000199263746804,0.273598490621161,346.1994916978276
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,270.0,1258.801258181119,0.562346650976472,0.21942015702632212,0.0024295666934981623,0.00032541236184658803,0.00021568877794919672,0.6163311162973237,0.0,1.0,0.08010281149653146,0.2736005759757226,347.1989032914926
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,270.0882222786644,1258.7130359024545,0.5625610022279041,0.21944886868908675,0.002429778464444665,0.00032548133778266194,0.00021573450803558103,0.6163251495691113,0.0,1.0,0.08011171706102779,0.2736007601812155,347.28707359492853
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,271.0,1257.801258181119,0.5647774175879382,0.21974596056846485,0.002431966188536113,0.00032619502244958173,0.00021620767176599998,0.6162634127033924,0.0,1.0,0.08020386163672763,0.2736026661414066,348.1983135366456
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,272.0,1256.801258181119,0.5672105826729815,0.22007254768318596,0.0024343636410230234,0.0003269795082592279,0.00021672777350545402,0.6161955538244056,0.0,1.0,0.08030514354566334,0.2736047611305418,349.19772242987017
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,272.6362243756329,1256.165033805486,0.5687598690874804,0.22028073905472167,0.002435887893377092,0.0003274795749139796,0.00021705931052551364,0.6161522993754199,0.0,1.0,0.08036970242474628,0.2736060965301449,349.8335700236652
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,273.0,1255.801258181119,0.5696461441872063,0.22039992019986743,0.0024367590461432122,0.00032776582593686474,0.00021724908760845096,0.6161275393328939,0.0,1.0,0.08040665771209855,0.27360686095593767,350.1971299676143
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,274.0,1254.801258181119,0.5720841000814361,0.22072807995285437,0.0024391523991185403,0.0003285539843642764,0.000217771622956775,0.6160593689006488,0.0,1.0,0.08050840462589723,0.273608965630421,351.1965361463217
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,275.0,1253.801258181119,0.5745244482997303,0.22105702878190314,0.0024415436952142057,0.0003293439813210168,0.00021829537732998006,0.6159910421987581,0.0,1.0,0.08061038477797283,0.2736110751664918,352.19594096252865
