scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_automated_research_services,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,human_to_automated_service_ratio,singularity_time_estimate,monopoly_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual,terminal_boundary_z
equilibrium_sigma_1.5_z_128,535.5130732322892,346.5949403281047,7.955912289141633,0.7114073098074569,6.426156878787471,6.375905758913808,5.616527292471229,6.663113319166543,6.026361587686274,-0.2522388716122679,0.30345875135372946,-0.7114073098074569,3.511427839329245,2.800020529521788,0.07202722986736276,6.424415815458077,-0.9591216203621634,-0.2477143105547065,-0.03416498297002291,0.23695644037907204,-0.050251119873663264,1.529755410354162,0.012627942258612648,0.004834624876305955,0.012585457279439348,0.0005854572794393477,0.01053501005748285,0.012677043681463829,0.0006770436814638285,0.0004503103312458734,0.27450138569527077,0.017612387872143438,0.09058545727943935,0.04058545727943935,0.0017395485578672787,0.9982604514421327,0.08648803815031698,0.6375490271560599,0.2222138277971661,0.3145548581600623,0.02100294128985453,0.0004894467239890462,0.2281516433878302,0.7503559685983262,1.0,0.6120530144392875,0.6131195656955939,2.7589938361968223,0.036944044270857845,0.7152102547791724,0.1963262060003505,2.8042856890372434,1.3767718784682668,566.6903985645586,-2.731148640577885e-14,0.0,0.0,-1.1796119636642288e-16,0.0,8.881784197001252e-16,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,535.8806182379393,346.22739532245464,7.96055395356035,0.7131858121518193,6.430567418855272,6.380531781578159,5.620399266550372,6.667773054490892,6.031030223605937,-0.2520731301489949,0.3016061608364873,-0.7131858121518193,3.518862010131801,2.805676197979982,0.07865456572436447,6.42882248828986,-0.9503842992342544,-0.2371984870824351,-0.026313689222631016,0.23720563563562003,-0.05003563727711313,1.5299865347050776,0.012629724122813143,0.00484311505782994,0.01258709425548029,0.0005870942554802895,0.010534378849343294,0.012678955778611112,0.0006789557786111115,0.0004515741380828331,0.27450634622872816,0.0176429985112056,0.0905870942554803,0.040587094255480294,0.0017434090591760562,0.998256590940824,0.08656780347245101,0.6375221728309415,0.22221381230617332,0.31497420782528407,0.021023869234680286,0.000491446559481901,0.228154011676757,0.7503306725290808,0.9999999999999999,0.6119995716734578,0.6130684006770927,2.7587894349564626,0.036976559091861885,0.7159191941027925,0.19652436216817318,2.7983749255428267,1.3714287132182779,567.0573801727952,-2.6867397195928788e-14,0.0,0.0,-9.055256544598933e-16,0.0,-8.881784197001252e-16,4.440892098500626e-16,0.0,-4.215378046623641e-16,-1.734723475976807e-18,-7.112366251504909e-17,-8.500145032286355e-17,128.0
equilibrium_sigma_1.5_z_128,536.0,346.10801356039394,7.962061746884361,0.7137641564256784,6.432,6.3820344828589874,5.621656867119276,6.6692867277074495,6.032546792888971,-0.2520191958890541,0.30100371008602433,-0.7137641564256784,3.521277911440814,2.8075137550151354,0.08080683272927569,6.430253812083267,-0.9475458194356018,-0.23378166300992345,-0.023763033092492964,0.23728672770744907,-0.04996551714101294,1.5300617468843605,0.012630303926147224,0.004845873759866901,0.01258762689942653,0.0005876268994265306,0.010534175608623068,0.012679577974239464,0.0006795779742394641,0.00045198537357293844,0.27450796030129254,0.01765294439748924,0.09058762689942654,0.040587626899426535,0.0017446642176301816,0.9982553357823698,0.08659375842863763,0.6375134346623587,0.2222138072624569,0.3151106476488484,0.021030679628558337,0.0004920980625811596,0.22815478231453068,0.7503224399943299,1.0,0.6119821818528127,0.6130517513068737,2.7587229310650843,0.036987138518628865,0.716149951727028,0.19658886251845556,2.7964553035771376,1.3696955594131721,567.1765786193847,-2.6978419498391304e-14,0.0,0.0,-1.734723475976807e-17,0.0,0.0,-4.440892098500626e-16,0.0,-1.0162357066967331e-13,2.959438250016433e-14,-9.214677632041202e-14,-2.2271247346328238e-13,128.0
equilibrium_sigma_1.5_z_128,536.2481632435895,345.85985031680445,7.965196273781637,0.7149674358898475,6.434977958923074,6.385158406708036,5.62427101015379,6.672433493561819,6.035699586886385,-0.25190692355000444,0.29975025359117646,-0.7149674358898475,3.526301847965933,2.8113344120760857,0.08528028287288425,6.433229155357539,-0.941644545149722,-0.22667710925987444,-0.018460120619311952,0.23745553463874458,-0.04981955221503842,1.5302183148585629,0.012631510817809596,0.004851609971857507,0.01258873560428999,0.0005887356042899895,0.010533755927186115,0.012680873138215532,0.0006808731382155313,0.00045284138217027703,0.274511320013,0.01767362443059816,0.09058873560429,0.040588735604289994,0.0017472752995888624,0.9982527247004112,0.08664778503014138,0.6374952457065192,0.22221379675884761,0.3153946337146919,0.02104485679502583,0.0004934554194108608,0.2281563864646586,0.7503053013209047,1.0,0.6119459840298053,0.6130170936557753,2.7585845100127457,0.037009159175168886,0.7166304035415719,0.19672315803764578,2.7924653063669407,1.3660964853317499,567.4243602965012,-2.7533531010703882e-14,0.0,0.0,1.8388068845354155e-15,8.881784197001252e-16,1.7763568394002505e-15,4.440892098500626e-16,0.0,-1.734723475976807e-18,0.0,0.0,1.734723475976807e-18,128.0
equilibrium_sigma_1.5_z_128,536.6157082492397,345.49230531115427,7.969839251583954,0.7167521827600938,6.439388498990876,6.389785635913273,5.628142526333344,6.6770946383144985,6.0403696795399915,-0.25174025054822646,0.2978910274070219,-0.7167521827600938,3.5337473580443812,2.8169951752842874,0.09190438345574847,6.43763581665709,-0.9329023516930603,-0.21615016893296654,-0.010604262892376572,0.23770613932362217,-0.04960286307760331,1.5304507525930777,0.012633302359554219,0.004860109613773215,0.012590381340302097,0.0005903813403020965,0.010533141325825102,0.012682795760277088,0.0006827957602770877,0.0004541120812717736,0.27451630709182456,0.017704265605421862,0.0905903813403021,0.0405903813403021,0.0017511472830548209,0.9982488527169452,0.08672798337920277,0.6374682455956685,0.2222137811549644,0.31581613767913513,0.021065904140176676,0.0004954733498462025,0.2281587677725959,0.7502798547373812,1.0,0.6118922511359342,0.6129656442584833,2.758379060182058,0.037041844723889175,0.7173438905115005,0.19692259573809925,2.786556865023879,1.3607752204511583,567.7913389308717,-2.731148640577885e-14,0.0,0.0,-1.97758476261356e-15,8.881784197001252e-16,-8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,536.98325325489,345.12476030550397,7.97448288875165,0.7185400544994536,6.44379903905868,6.394413470809033,5.63201381815372,6.681756490690846,6.0450405035862715,-0.2515731098722229,0.29602848007347893,-0.7185400544994536,3.5411985455860764,2.8226584910866226,0.09852686962751456,6.442042472184465,-0.9241577124299243,-0.20561765793047068,-0.002746101722636209,0.23795745163216608,-0.04938556824964735,1.53068384969297,0.01263509876408632,0.004868613979164178,0.012592031478028808,0.0005920314780288073,0.010532535080176063,0.012684723675882026,0.0006847236758820256,0.0004553862353873228,0.2745213075091782,0.017734922011477753,0.09059203147802881,0.04059203147802881,0.0017550250135494193,0.9982449749864506,0.08680839907726479,0.6374411723106541,0.22221376549429794,0.3162387215679494,0.021087011440038744,0.0004975003971269745,0.22816115562174427,0.75025433254109,0.9999999999999999,0.6118383726182325,0.612914052110843,2.758173084277539,0.03707461594172866,0.7180596624601995,0.19712267740817313,2.7806496349986705,1.355464943972019,568.1583160710762,-2.8199664825478976e-14,-8.881784197001252e-16,0.0,3.5344990823027445e-16,0.0,8.881784197001252e-16,-1.1102230246251565e-16,0.0,4.440892098500626e-16,3.469446951953614e-18,8.500145032286355e-17,7.28583859910259e-17,128.0
equilibrium_sigma_1.5_z_128,537.0,345.10801356039394,7.974694486216418,0.7186215911823373,6.444,6.394624346981043,5.63219020360442,6.681968919261719,6.0452533415079115,-0.251565483148136,0.29594353620407743,-0.7186215911823373,3.5415381852856687,2.822916594103331,0.09882857680656532,6.442243255993824,-0.9237592151198194,-0.20513762393748214,-0.002387998980840734,0.2379689192617187,-0.04937565301895663,1.5306944862164178,0.012635180731186718,0.00486900158276495,0.012592106769650509,0.0005921067696505085,0.010532507656924983,0.012684811649954497,0.0006848116499544969,0.0004554443799875685,0.2745215356656076,0.017736319196086096,0.09059210676965052,0.04059210676965051,0.001755201834623537,0.9982447981653765,0.08681206830792322,0.6374399370029993,0.22221376477938226,0.31625800184715813,0.02108797459959633,0.0004975929750112935,0.2281612645773704,0.7502531678480221,1.0000000000000002,0.6118359142336914,0.6129116979704313,2.758163686683402,0.03707611116671222,0.7180923302955668,0.19713180926243373,2.780380508580684,1.3552232497780743,568.175036906412,-2.5979218776228663e-14,0.0,0.0,-1.8769708010069053e-15,8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,-5.3122437004837764e-14,1.325155263298683e-14,-4.826174182515075e-14,-1.1577024061626418e-13,128.0
equilibrium_sigma_1.5_z_128,537.35079826054,344.7572152998539,7.97912718707497,0.7203310528432345,6.44820957912648,6.399041913015815,5.635884888692444,6.686419052639533,6.049712061051929,-0.25140550024616726,0.2941626093801668,-0.7203310528432345,3.5486554158162456,2.828324362973011,0.10514774355451717,6.446449121935583,-0.9154106209070318,-0.19507956806379737,0.005114377260734674,0.23820947351305222,-0.04916766611066503,1.5309176079484894,0.01263690004753279,0.004877123063821377,0.012593686032061964,0.0005936860320619637,0.010531937225259181,0.012686656907234806,0.0006866569072348054,0.00045666387116227725,0.2745263213092787,0.017765593625271574,0.09059368603206197,0.04059368603206197,0.0017589084950748804,0.9982410915049251,0.08688903268378047,0.6374140256631272,0.22221374977662142,0.3166623872289096,0.0211081788651413,0.0004995366078627976,0.2281635500333925,0.7502287344936034,1.0,0.611784348101867,0.6128623168372633,2.7579665811090903,0.03710747303299161,0.718777726867121,0.19732340519587624,2.774743649746596,1.35016568104268,568.5252917122575,-2.6645352591003757e-14,8.881784197001252e-16,0.0,-1.1509890263106115e-15,0.0,-8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,537.7183432661901,344.3896702942038,7.983772148350115,0.7221251795252394,6.452620119194282,6.403670964159511,5.6397557410399415,6.691082326116041,6.054384353970899,-0.2512374203898231,0.29229341311676205,-0.7221251795252394,3.5561179739666304,2.833992794441391,0.1117670074148549,6.4508557659063435,-0.9066610706519984,-0.18453589112675906,0.012977188480399849,0.238462206921759,-0.048949155034770264,1.5311520291558338,0.012638706226106924,0.004885636863741093,0.012595345017072539,0.0005953450170725384,0.010531347796197923,0.012688595472098996,0.0006885954720989955,0.0004579450063602053,0.27453134853658345,0.01779628042401884,0.09059534501707255,0.04059534501707254,0.0017627977316604145,0.9982372022683396,0.08696988476003781,0.6373868054641206,0.22221373400170696,0.31708713650820947,0.021129406586641152,0.0005015820289357027,0.22816595102893988,0.7502030603554833,1.0000000000000002,0.6117301772107746,0.6128104380609262,2.757759549483317,0.03714041620258417,0.7194980912437553,0.1975247812586459,2.768838942692346,1.344877456563934,568.892265849533,-2.6756374893466273e-14,1.7763568394002505e-15,0.0,1.0061396160665481e-16,0.0,8.881784197001252e-16,-1.1102230246251565e-16,0.0,-1.960237527853792e-16,-1.734723475976807e-18,0.0,5.204170427930421e-17,128.0
equilibrium_sigma_1.5_z_128,538.0,344.10801356039394,7.987332120387353,0.7235021712356944,6.456,6.407218707297243,5.642721903141307,6.694656364117016,6.0579653199838654,-0.2511082985516895,0.29085876037598535,-0.7235021712356944,3.5618405270727753,2.838338355837081,0.11683838700654459,6.454232657144122,-0.8999544556735867,-0.17645228443789232,0.019004197828151072,0.2386563641170154,-0.048781292702757106,1.5313321203873524,0.012640093658233029,0.004892164339501516,0.012596619336872596,0.0005966193368725954,0.010530901829937385,0.012690084654209954,0.0006900846542099541,0.00045892913469458563,0.27453521011173515,0.017819806565104773,0.0905966193368726,0.0405966193368726,0.001765782025136278,0.9982342179748637,0.0870319914527814,0.637365896210897,0.22221372187420932,0.3174133644902859,0.021145714708378952,0.0005031557368455218,0.22816779542681853,0.750183334127957,1.0,0.6116885657266364,0.6127705850111811,2.7576005388107188,0.03716571956498457,0.7200516814618095,0.19767953966142607,2.7643149391865287,1.3408324755061793,569.1734840951623,-2.7533531010703882e-14,0.0,0.0,5.238864897449957e-16,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,0.0,1.3054661518463462e-13,-2.841997470692803e-14,1.1810344369145298e-13,2.8083091407893335e-13,128.0
equilibrium_sigma_1.5_z_128,538.0858882718403,344.02212528855364,7.988417774379263,0.7239224362778354,6.457030659262084,6.408300625871415,5.643626378299567,6.695746313082694,6.059057384384383,-0.2510688690185132,0.29042088907293806,-0.7239224362778354,3.563586225275604,2.8396637889977683,0.11838466339842846,6.4552624040926165,-0.8979090551732131,-0.1739866188953777,0.020842346411016444,0.2387156538206101,-0.04873003339066884,1.5313871151171794,0.012640517316110655,0.004894155375126268,0.012597008447811704,0.000597008447811704,0.010530766828221454,0.012690539383797272,0.0006905393837972722,0.00045922964098110697,0.27453638923579304,0.01782698238564939,0.09059700844781171,0.04059700844781171,0.0017666927273625906,0.9982333072726374,0.08705095586916893,0.6373595115240465,0.22221371816932564,0.3175129712504193,0.02115069477632559,0.0005036367075019686,0.2281683586299015,0.7501773098862708,0.9999999999999999,0.6116758595676568,0.612758415403781,2.7575519882035557,0.03717344565601759,0.7202207631338348,0.19772680776341037,2.76293554722945,1.3396002951887878,569.2592384779937,-2.5757174171303632e-14,0.0,0.0,-1.897787482718627e-15,0.0,-8.881784197001252e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,128.0
