scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_automated_research_services,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,human_to_automated_service_ratio,singularity_time_estimate,monopoly_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual,alpha,eta,sigma_xl,sigma_hm,terminal_boundary_z
equilibrium_sigma_1.5_z_32,1665.6486303508925,2.711944143725759,43.196154271637766,6.548765717378094,19.987783564210712,43.63397307141524,38.56927495848043,45.06343111417554,45.98313463363445,15.78690955748991,-6.148218805354887,-6.548765717378094,50.81103434393158,44.262268626553485,4.6711075261066775,19.987783341340428,41.55561394165216,48.10437965903026,46.0047354114084,25.07564754996483,23.64618950720453,23.208370707427054,1.7733790304743509,0.1418494746797498,2.057315088049869,2.045315088049869,1.6319902149287113,2.0610700028633744,2.0490700028633744,1.3188138082748457,6.4706517819693,0.021921976248979794,2.135315088049869,2.085315088049869,2.2287025786309075e-07,0.9999997771297421,0.9998620005210789,0.33004645982457015,0.22110030971079236,0.9999999993122508,0.44880692824711077,0.029962245520527085,0.28179217363469644,0.2394386525976657,1.0,9.245965087715357e-05,9.245967148366425e-05,1.49264081765751,0.22110061210201204,1.0561281812561818,6.833837698033308,9.577725722887237e-17,1.37141716742316e-19,1668.9128555196928,-2.6645352591003757e-15,0.0,0.0,0.0,7.105427357601002e-15,1.7763568394002505e-14,-1.2212453270876722e-15,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.6657945543338,2.694779940284434,43.22667082616106,6.551206774384599,19.987989534652005,43.66937604383006,38.59735825276496,45.098898513653864,46.02104050898615,15.809604349742571,-6.150660728376977,-6.551206774384599,50.84894539000635,44.29773861562175,4.658991266714979,19.987989314511132,41.59132832377226,48.142535098156856,46.042890850500854,25.11090897900186,23.681386509178058,23.238681291509057,1.7824733060426956,0.1425875915919089,2.067912914431754,2.055912914431754,1.6403335388980915,2.0716651412405738,2.0596651412405738,1.3256306550129746,6.502766407368951,0.02192722030278195,2.145912914431754,2.095912914431754,2.2014085005334992e-07,0.9999997798591499,0.9998637238590722,0.33004587963411236,0.2211003058433864,0.9999999993293225,0.44880809047452513,0.029969646589009403,0.281799036171149,0.2394232267653165,1.0,9.130501442163651e-05,9.13050345216039e-05,1.4926395250078583,0.22110060451105312,1.050920570104155,6.833890980086326,9.130400169681559e-17,1.3041779715542349e-19,1668.9138989889805,-3.552713678800501e-15,0.0,0.0,0.0,7.105427357601002e-15,0.0,1.5543122344752192e-15,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.6829587577752,2.6776157368431086,43.257344272327614,6.553660565889768,19.9881955050933,43.70496184776394,38.625585483480585,45.134548698447915,46.05914192325344,15.832416747676202,-6.153115379489918,-6.553660565889768,50.88705193673319,44.333391370843415,4.646810165625867,19.98819528766251,41.62722581005562,48.18088637594539,46.08124212825592,25.146353193354614,23.71676634267064,23.269148767234313,1.791660528808486,0.14333333802548848,2.0786191811722143,2.0666191811722143,1.6487621319794221,2.08236871228069,2.07036871228069,1.3325174675827731,6.5352096399158,0.02193247744495235,2.156619181172214,2.1066191811722144,2.1743076923217463e-07,0.9999997825692307,0.9998654344472364,0.3300453037360971,0.22110030200458625,0.9999999993460558,0.4488092441047157,0.02997705904376273,0.28180588386330846,0.2394078129882132,1.0,9.0158920351604e-05,9.015893995493149e-05,1.4926382419238724,0.22110059697493267,1.045711328443201,6.833942754211164,8.701809012083875e-17,1.239912182528279e-19,1668.9149383833774,-6.217248937900877e-15,-7.105427357601002e-15,0.0,0.0,7.105427357601002e-15,2.4868995751603507e-14,1.3322676295501878e-15,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.7001229612163,2.6604515334020107,43.28817621779447,6.556127223860063,19.988401475534594,43.74073235885619,38.653958125481594,45.170383544063235,46.09744088386726,15.85534795767039,-6.155582890673934,-6.556127223860063,50.92535599162528,44.36922876776522,4.634563554673372,19.98840126079459,41.66330827706176,48.219435500921826,46.11979125319956,25.18198206852864,23.752330883321598,23.299774742259878,1.8009421359730409,0.14408683227799282,2.0894355656794312,2.077435565679431,1.6572773127591496,2.093182393267301,2.081182393267301,1.3394750935575004,6.5679865626649425,0.021937747725770312,2.167435565679431,2.1174355656794313,2.147399832672881e-07,0.9999997852600168,0.999867132312933,0.3300447321213126,0.22110029819433058,0.9999999993624553,0.44881038915611227,0.02998448292393366,0.2818127166237725,0.23939241129618163,1.0,8.902135033488689e-05,8.902136945133387e-05,1.4926369683849885,0.22110058949355282,1.0405004561832552,6.833993014658362,8.291259258452359e-17,1.178502801585813e-19,1668.9159736947288,-2.6645352591003757e-15,-7.105427357601002e-15,0.0,0.0,1.4210854715202004e-14,7.105427357601002e-15,1.1102230246251565e-15,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.7172657096246,2.6433087849936783,43.31912945480124,6.55860377460084,19.988607188515495,43.77664441860753,38.68244193508462,45.20635981153575,46.13589118127066,15.878370315566336,-6.158060287193649,-6.55860377460084,50.96381133891193,44.40520756431109,4.622266187841692,19.988606976443684,41.69953217676278,48.25813595136362,46.15849170360925,25.217752623020253,23.788037230092037,23.330522266285747,1.8103078123947471,0.14484723844654585,2.1003500495023024,2.0883500495023024,1.665869617934507,2.1040941689277965,2.0920941689277965,1.3464958628000523,6.601060756067582,0.021943024583345145,2.1783500495023023,2.1283500495023024,2.1207178721083703e-07,0.9999997879282128,0.9998688153851153,0.3300441654870112,0.2211002944172673,0.9999999993785065,0.44881152423194476,0.029991908967686696,0.28181952585192976,0.23937704094843884,1.0000000000000002,8.789369197275242e-05,8.789371061252861e-05,1.4926357059446118,0.22110058207608246,1.0352944698146507,6.834041695667285,7.898561007860037e-17,1.1199085199610778e-19,1668.9170036283874,6.217248937900877e-15,1.4210854715202004e-14,0.0,0.0,7.105427357601002e-15,1.4210854715202004e-14,-9.992007221626409e-16,0.0,1.556688111747917e-10,1.2816830929907042e-11,1.8170087656699252e-10,1.4282108828922446e-10,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.7172871646578,2.643287329960458,43.31916829514184,6.558606882313411,19.988607445975894,43.77668948183485,38.68247767648851,45.206404955093234,46.13593942939766,15.878399204781491,-6.158063395960781,-6.558606882313411,50.96385959333535,44.40525271102194,4.6222507553818595,19.988607233907413,41.6995776304458,48.258184512759215,46.1585402650048,25.21779750911734,23.788082035858956,23.33056084916595,1.8103195945483517,0.14484819510292946,2.1003637801583905,2.0883637801583905,1.6658804271743817,2.104107896209952,2.092107896209952,1.3465045766743517,6.6011023641163336,0.02194303119586902,2.1783637801583904,2.1283637801583906,2.120684598475153e-07,0.9999997879315402,0.9998688174836429,0.3300441647805069,0.2211002944125579,0.9999999993785265,0.44881152564720916,0.02999191826894498,0.281819534364604,0.23937702171924183,1.0,8.789228595927788e-05,8.789230459846371e-05,1.4926357043705367,0.22110058206683147,1.0352879532351795,6.834041755641903,7.89808010958628e-17,1.119836854990235e-19,1668.9170049148422,-8.881784197001252e-16,0.0,0.0,0.0,7.105427357601002e-15,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.734451368099,2.62612312651936,43.3503221623904,6.56109967736183,19.988813416417187,43.81283515112053,38.71114565756269,45.2426148658231,46.1746396302004,15.901571733171924,-6.160557031476365,-6.56109967736183,51.002564812302154,44.44146513494032,4.609871078669203,19.988813207000998,41.73603580556243,48.29713548292426,46.19749123513836,25.253801449405913,23.824021734703344,23.36150874597321,1.8197944021338726,0.14561754977383592,2.111405572517826,2.099405572517826,1.674572849225749,2.115146969460189,2.103146969460189,1.3536071507815925,6.634562340963108,0.021948327906237942,2.189405572517826,2.139405572517826,2.0941616646358451e-07,0.9999997905838335,0.9998704899869615,0.3300436017043896,0.2211002906592064,0.9999999993942739,0.4488126535966002,0.029999365118497365,0.2818263369973012,0.23936164428760123,1.0,8.67717087358044e-05,8.677172690720645e-05,1.4926344498597648,0.22110057469466388,1.0300738195108465,6.8340889713386925,7.521622359627577e-17,1.0638052757225147e-19,1668.9180320354833,-1.7763568394002505e-15,0.0,0.0,0.0,1.4210854715202004e-14,1.0658141036401503e-14,-7.771561172376096e-16,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.7516155715402,2.608958923078035,43.381639503535155,6.563605747255411,19.989019386858484,43.84917133144957,38.73996361359612,45.27901524085291,46.21354358908405,15.924866806533668,-6.163063935484708,-6.563605747255411,51.041473751417556,44.47786800416215,4.5974238245789,19.989019180075392,41.7726847680892,48.33629051534461,46.236646267527846,25.289995853994423,23.860151944591085,23.39262011667667,1.8293680877188396,0.14639502215039735,2.1225627273064873,2.1105627273064873,1.6833559817132637,2.1263013968450846,2.1143013968450846,1.3607839287482353,6.668371900928748,0.021953637908228837,2.200562727306487,2.1505627273064873,2.0678307039733767e-07,0.9999997932169296,0.9998721498505969,0.33004304288363234,0.22110028693421407,0.9999999994097024,0.4488137730229341,0.030006823512575977,0.2818331244328301,0.2393462790316598,1.0,8.565960010006755e-05,8.565961781302637e-05,1.4926332048318562,0.2211005673769657,1.0248580549228516,6.834134655888035,7.161257810406036e-17,1.0103027880980586e-19,1668.9190550483793,2.6645352591003757e-15,0.0,0.0,0.0,0.0,3.552713678800501e-15,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.7687797749813,2.591794719636937,43.41312202908962,6.566125232427153,19.989225357299777,43.88570001850917,38.768933113810654,45.31560807573288,46.25265344199002,15.948285708405606,-6.165584248432815,-6.566125232427153,51.0805885467067,44.514463314279546,4.584908282235713,19.98922515313062,41.80952651466163,48.37565174708878,46.27600749924179,25.326382718433106,23.896474661209393,23.423896671789844,1.83904221250883,0.1471807407465587,2.133837066678008,2.121837066678008,1.692231256994666,2.1375730008226688,2.1255730008226688,1.3680360616545308,6.7025365656909335,0.021958961253557372,2.211837066678008,2.1618370666780082,2.0416913875849607e-07,0.9999997958308613,0.9998737971023822,0.3300424883088646,0.2211002832375186,0.9999999994248168,0.448814883944956,0.03001429349144558,0.2818398965816156,0.23933092598198275,1.0,8.455594140391097e-05,8.45559586676279e-05,1.492631969265878,0.22110056011364004,1.019640659384692,6.834178803391113,6.816378700294919e-17,9.59227795431404e-20,1668.920073945216,7.105427357601002e-15,-7.105427357601002e-15,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,1.5543122344752192e-15,0.0,4.973799150320701e-14,3.885780586188048e-16,1.865174681370263e-14,1.887379141862766e-14,0.33,0.2,1.5,2.0,32.0
equilibrium_sigma_1.5_z_32,1665.7859439784227,2.5746305161956116,43.44477147664807,6.5686582755392795,19.989431327741073,43.92242323959381,38.79805575227396,45.35239539761966,46.29197135869522,15.971829742700983,-6.168118112996986,-6.5686582755392795,51.119911368030515,44.55125309249124,4.572323729401095,19.989431126166714,41.84656307352991,48.415221349069185,46.31557710119258,25.362964069878586,23.93299191185274,23.455340148907,1.8488183707792671,0.14797483680090331,2.1452304513874387,2.1332304513874387,1.7012001377687236,2.1489636421918017,2.1369636421918017,1.3753648379364005,6.737061973901328,0.02196429799431003,2.2232304513874386,2.1732304513874388,2.015743384390608e-07,0.9999997984256616,0.9998754317702627,0.3300419379706782,0.22110027956905737,0.999999999439622,0.4488159863814912,0.03002177509566483,0.2818466533535079,0.2393155851693361,1.0,8.346071392397513e-05,8.34607307475167e-05,1.4926307431407992,0.22110055290458475,1.014421632810514,6.8342214079106105,6.486397142705216e-17,9.104822700364012e-20,1668.9210887176382,-3.552713678800501e-15,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,32.0
